file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,storage_fluxes,vertical_advection_fluxesgas_densities_concentrations_and_timelagsair_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,statistical_flags,,,,,,,,,,,,spikes,,,,variances,,,,covariances
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],[m+1K+1s-1]
SE-Htm_sonic_profile_2020-06-11_0000.dat,2020-06-11,00:30,163.0208,0,18000,17999,-0.772668,0,-19.7599,1,-9999,287.630,287.630,99889.2,1.20988,1005.42,0.239401E-01,-9999,-9999,-9999,1644.09,-9999,-9999,-9999,-9999,-0.930698,-2.86633,0.671704E-03,3.01364,-0.161242E-13,-0.227063E-13,3.01364,8.80378,286.139,252.011,0.127705E-01,-9999,0.799145,2.31138,2247.51,0.771520E-02,-9999,0.203268E-01,0,110.416,-16.7561,37.9023,94.3821,143.939,201.876,302.447,-0.762255,1.01366,-19.4174,1.01764,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,4,3,0,9,2.26165,1.49417,0.866934,0.460374E-01,-0.159626E-01
SE-Htm_sonic_profile_2020-06-11_0030.dat,2020-06-11,01:00,163.0416,0,18000,17992,-0.469700,0,-34.2813,0,-6.39208,287.316,287.316,99889.2,1.21120,1005.41,0.239139E-01,-9999,-9999,-9999,1610.92,-9999,-9999,-9999,-9999,-0.463481,-2.69540,-0.653468E-01,2.73574,0.261068E-13,-0.407072E-14,2.73574,8.64793,277.778,260.243,-1.36872,-9999,0.622733,1.74424,612.990,0.282876E-01,-9999,0.452057E-01,0,103.378,-15.6880,35.4864,88.3661,134.764,189.008,283.169,-0.463377,1.01365,-33.6902,1.01754,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,8,8,0,18,1.74637,1.12145,0.620651,0.293246E-01,-0.276657E-01
SE-Htm_sonic_profile_2020-06-11_0100.dat,2020-06-11,01:30,163.0624,0,18000,17967,-0.748886,0,-7.85700,0,-6.32250,287.004,287.004,99889.2,1.21252,1005.41,0.238880E-01,-9999,-9999,-9999,1578.72,-9999,-9999,-9999,-9999,-0.561880,-3.03496,-0.528296E-01,3.08699,0.379252E-14,-0.323842E-14,3.08699,9.55689,279.174,259.511,-0.980587,-9999,0.785894,2.25197,5375.74,0.322561E-02,-9999,0.820093E-02,0,116.814,-17.7269,40.0983,99.8505,152.278,213.573,319.971,-0.738793,1.01366,-7.72056,1.01767,800009999,811119999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,17,5,1,29,2.34033,1.43530,0.728300,0.302182E-01,-0.633314E-02
SE-Htm_sonic_profile_2020-06-11_0130.dat,2020-06-11,02:00,163.0833,0,18000,17858,-0.870263,0,-2.29920,2,-7.83706,286.619,286.619,99889.2,1.21415,1005.40,0.238559E-01,-9999,-9999,-9999,1539.64,-9999,-9999,-9999,-9999,-0.459853,-3.45022,-0.112698,3.48246,-0.381391E-13,0.778680E-14,3.48246,11.4738,276.007,262.407,-1.85451,-9999,0.846622,2.71363,22966.4,0.755016E-03,-9999,0.222473E-02,0,108.959,-16.5350,37.4021,93.1366,142.039,199.212,298.456,-0.858598,1.01359,-2.25612,1.01909,800009999,811119999,800009999,800109999,800009999,800009999,899999999,899999999,89999,89999,89,89,4,11,0,20,2.70883,1.71257,1.00586,0.367442E-01,-0.184822E-02
SE-Htm_sonic_profile_2020-06-11_0200.dat,2020-06-11,02:30,163.1041,0,18000,17899,-0.685279,0,-15.0094,1,-9.64692,286.146,286.146,99889.2,1.21616,1005.39,0.238165E-01,-9999,-9999,-9999,1492.79,-9999,-9999,-9999,-9999,-0.213936,-3.00297,-0.733952E-01,3.01148,-0.150274E-14,0.430774E-14,3.01148,9.61854,272.561,265.925,-1.39654,-9999,0.750653,2.07408,2452.17,0.707130E-02,-9999,0.163531E-01,0,107.764,-16.3537,36.9920,92.1154,140.482,197.028,295.183,-0.676040,1.01367,-14.7499,1.01759,800009999,811119999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,9,7,0,24,2.00942,1.32590,0.812842,0.397898E-01,-0.120633E-01
SE-Htm_sonic_profile_2020-06-11_0230.dat,2020-06-11,03:00,163.1249,0,18000,17887,-0.819828,0,-1.19263,2,-8.35348,285.736,285.736,99889.2,1.21790,1005.38,0.237825E-01,-9999,-9999,-9999,1453.29,-9999,-9999,-9999,-9999,-0.308182,-3.14250,-0.140698,3.16046,0.560484E-13,-0.336859E-14,3.16046,10.0654,274.138,264.399,-2.55155,-9999,0.820457,2.43858,40295.1,0.430325E-03,-9999,0.118716E-02,0,116.857,-17.7335,40.1133,99.8878,152.335,213.652,320.090,-0.808786,1.01365,-1.17178,1.01780,800009999,811119999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,15,4,0,37,2.77603,1.30810,0.793028,0.302576E-01,-0.956985E-03
SE-Htm_sonic_profile_2020-06-11_0300.dat,2020-06-11,03:30,163.1458,0,18000,17973,-0.657423,0,-0.605474,2,-7.36885,285.376,285.376,99889.2,1.21944,1005.37,0.237524E-01,-9999,-9999,-9999,1419.26,-9999,-9999,-9999,-9999,-0.217352,-2.85931,-0.108212,2.86961,-0.949248E-14,0.110611E-13,2.86961,9.04054,273.550,265.653,-2.16113,-9999,0.734248,2.04224,56888.0,0.304809E-03,-9999,0.672616E-03,0,108.171,-16.4154,37.1317,92.4633,141.012,197.772,296.298,-0.648439,1.01386,-0.595523,1.01671,800009999,800019999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,18,4,0,29,2.14484,1.16923,0.770408,0.249102E-01,-0.485750E-03
SE-Htm_sonic_profile_2020-06-11_0330.dat,2020-06-11,04:00,163.1666,1,18000,17973,-0.465028,0,-6.81124,1,-6.60683,285.053,285.053,99889.2,1.22082,1005.36,0.237256E-01,-9999,-9999,-9999,1389.37,-9999,-9999,-9999,-9999,-0.262752,-3.39533,-0.258179,3.41498,-0.721196E-15,0.293410E-14,3.41498,9.63224,273.188,265.575,-4.33580,-9999,0.617183,2.37911,3003.31,0.577362E-02,-9999,0.899161E-02,0,92.1663,-13.9866,31.6377,78.7824,120.148,168.509,252.458,-0.458794,1.01359,-6.68326,1.01915,800009999,811119999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,11,14,0,41,2.27873,1.66719,0.812295,0.247410E-01,-0.544520E-02
SE-Htm_sonic_profile_2020-06-11_0400.dat,2020-06-11,04:30,163.1874,1,18000,17986,-0.825703,0,18.0292,0,-6.01754,284.759,284.759,99889.2,1.22208,1005.36,0.237011E-01,-9999,-9999,-9999,1362.66,-9999,-9999,-9999,-9999,-0.265364,-3.55271,-0.156737,3.56603,0.560609E-14,-0.109570E-13,3.56603,9.54929,273.272,265.732,-2.51912,-9999,0.821982,2.62094,-2680.35,-0.646930E-02,-9999,-0.178523E-01,0,107.826,-16.3631,37.0133,92.1683,140.563,197.141,295.353,-0.808820,1.02087,17.6080,1.02392,800009999,800019999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,9,4,0,38,2.69750,1.57111,0.973260,0.210751E-01,0.143315E-01
