"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,1,1,0,30,30,12.654,1.9,2.03369,-661.704,0.663532968284169,0.409194,96.9315
2021,1,1,1,0,30,12.654,1.9,1.96385,-642.852,0.660113626582576,0.363276,95.9132
2021,1,1,1,30,30,12.654,1.9,2.10545,2870.19,0.799127649377745,0.379432,100.14
2021,1,1,2,0,30,12.654,1.9,2.16361,-1078.17,0.741704793027522,0.459199,94.2358
2021,1,1,2,30,30,12.654,1.9,1.73509,20905.5,0.644742584292367,0.291295,80.9478
2021,1,1,3,0,30,12.654,1.9,1.27696,-281.2,0.462443510063662,0.298809,73.4483
2021,1,1,3,30,30,12.654,1.9,1.80138,2844.8,0.576355792891856,0.325085,84.6204
2021,1,1,4,0,30,12.654,1.9,1.72769,-1106.78,0.649524441418489,0.350147,84.962
2021,1,1,4,30,30,12.654,1.9,1.74189,1246.76,0.571780552310062,0.372941,92.9312
2021,1,1,5,0,30,12.654,1.9,1.49409,1071.52,0.558955275491698,0.319703,99.078
2021,1,1,5,30,30,12.654,1.9,1.4382,587.938,0.60587787548317,0.289741,93.7977
2021,1,1,6,0,30,12.654,1.9,1.42518,1321.63,0.543000920809532,0.240859,66.8869
2021,1,1,6,30,30,12.654,1.9,1.26932,-528.422,0.48048829330172,0.293803,71.634
2021,1,1,7,0,30,12.654,1.9,1.57113,40694.7,0.552894203261347,0.290271,76.5713
2021,1,1,7,30,30,12.654,1.9,1.77567,822.138,0.665683858900004,0.354181,86.9919
2021,1,1,8,0,30,12.654,1.9,1.70413,339.387,0.54405238718344,0.259888,82.5207
2021,1,1,8,30,30,12.654,1.9,2.04585,611.061,0.701031383035025,0.379682,90.8708
2021,1,1,9,0,30,12.654,1.9,1.57277,-953.515,0.599416382825828,0.319374,107.083
2021,1,1,9,30,30,12.654,1.9,0.798859,-20.8999,0.358853730648018,0.137918,71.2263
2021,1,1,10,0,30,12.654,1.9,0.795319,-23.5556,0.374553067001193,0.134147,72.5406
2021,1,1,10,30,30,12.654,1.9,1.22264,1466.9,0.347129658773203,0.231941,44.3854
2021,1,1,11,0,30,12.654,1.9,1.46612,-305.313,0.363956041301693,0.257162,43.204
2021,1,1,11,30,30,12.654,1.9,1.26786,-310.476,0.377323468657861,0.24498,57.3162
2021,1,1,12,0,30,12.654,1.9,1.13441,-79.8772,0.441304883272325,0.296423,73.1777
2021,1,1,12,30,30,12.654,1.9,1.35029,-280.377,0.561548751222901,0.245768,81.934
2021,1,1,13,0,30,12.654,1.9,0.927374,-79.4526,0.506491855808166,0.261118,80.3629
2021,1,1,13,30,30,12.654,1.9,0.818863,-37.9433,0.390085887978532,0.172774,75.5162
2021,1,1,14,0,30,12.654,1.9,0.695595,-40.7177,0.465397679409771,0.190683,62.0377
2021,1,1,14,30,30,12.654,1.9,1.0276,-45.2209,0.302823215754671,0.166166,38.6376
2021,1,1,15,0,30,12.654,1.9,1.36498,-20.7577,0.238475575269251,0.109477,23.0992
2021,1,1,15,30,30,12.654,1.9,1.54006,-53.0001,0.314054931500844,0.152507,27.0715
2021,1,1,16,0,30,12.654,1.9,1.62239,-151.89,0.424037734169967,0.277772,24.6176
2021,1,1,16,30,30,12.654,1.9,1.55306,-129.039,0.398266242606626,0.219134,20.7113
2021,1,1,17,0,30,12.654,1.9,1.60949,-94.7412,0.392076523143123,0.194372,19.6867
2021,1,1,17,30,30,12.654,1.9,1.48151,4217.9,0.426062202031581,0.229025,29.407
2021,1,1,18,0,30,12.654,1.9,1.93646,-146.694,0.535002803730971,0.240845,26.2031
2021,1,1,18,30,30,12.654,1.9,1.95904,-297.811,0.546647967159853,0.391252,32.0751
2021,1,1,19,0,30,12.654,1.9,1.70451,-205.507,0.458570605250707,0.316997,26.4493
2021,1,1,19,30,30,12.654,1.9,1.25687,-738.499,0.380059205914026,0.249964,20.27
2021,1,1,20,0,30,12.654,1.9,1.19395,-373.661,0.350853245674028,0.246692,15.4925
2021,1,1,20,30,30,12.654,1.9,1.19591,-345.734,0.348651688652156,0.271489,11.0908
2021,1,1,21,0,30,12.654,1.9,1.38239,-540.458,0.43989998863378,0.217427,21.2057
2021,1,1,21,30,30,12.654,1.9,1.60784,-215.778,0.456442767496649,0.297042,28.2828
2021,1,1,22,0,30,12.654,1.9,1.65548,-176.336,0.423207986692123,0.317403,22.6343
2021,1,1,22,30,30,12.654,1.9,1.25934,-167.779,0.462170964038201,0.299782,26.4971
